person,user_name,user_screen_name,created_at,full_text,full_text_norm,entities_user_mentions,entities_hashtags,favorite_count,retweet_count,reply_count
Jokowi,Joko Widodo,jokowi,2019-05-07T05:20:00Z,Meninggalkan Jakarta pagi ini menuju Kalimantan. Saya hendak meninjau beberapa lokasi yang menjadi alternatif ibu kota negara yang baru.,meninggalkan jakarta pagi kalimantan meninjau lokasi alternatif kota negara,NA,NA,21667,4384,2162
Jokowi,Joko Widodo,jokowi,2019-05-07T01:28:00Z,"Pemerintah serius soal pemindahan ibu kota negara. Sejak tahun lalu Bappenas mengkaji sisi ekonomi, sospol, dan lingkungan soal ini. Tiga daerah siap dengan lahan 80.000, 120.000, bahkan 300.000 ha. Yang dipilih kita putuskan setelah konsultasi dengan lembaga negara terkait.",pemerintah serius pemindahan kota negara bappenas mengkaji sisi ekonomi sospol lingkungan daerah lahan dipilih putus konsultasi lembaga negara terkait,NA,NA,13869,2517,1123
Jokowi,Joko Widodo,jokowi,2019-05-06T15:26:00Z,"Buka puasa di hari pertama Ramadan bersama para tokoh dan pemimpin lembaga negara di Istana Negara, malam ini. Bulan Ramadan adalah bulan pengendalian diri, yang dipenuhi dengan ibadah dan pesan-pesan kedamaian. Sesungguhnya, orang-orang beriman itu bersaudara.",buka puasa ramadan tokoh pemimpin lembaga negara istana negara malam ramadan pengendalian penuh ibadah pesan pesan kedamaian sesungguhnya orang orang beriman bersaudara,NA,NA,11790,1685,384
Jokowi,Joko Widodo,jokowi,2019-05-06T02:52:00Z,"Tarawih pertama Ramadan tahun ini di Masjid Jenderal Besar Soedirman, di kompleks Museum Peta, Dinas Sejarah Angkatan Darat, Bogor.",tarawih ramadan masjid jenderal soedirman kompleks museum peta dinas sejarah angkatan darat bogor,NA,NA,10416,1238,302
Jokowi,Joko Widodo,jokowi,2019-05-05T13:19:00Z,"Dari puasa — dan dalam berpuasa — kita berlatih untuk menahan hawa nafsu, hasrat, dan keinginan duniawi, dan turut merasakan keterbatasan orang tak berpunya. Juga, kesempatan tak terkira untuk menimba pahala yang berlipat ganda di bulan suci.",puasa berpuasa berlatih tahan hawa nafsu hasrat duniawi merasakan keterbatasan orang berpunya kesempatan menimba pahala berlipat ganda suci,NA,NA,25216,5175,1085
Jokowi,Joko Widodo,jokowi,2019-05-05T07:01:00Z,"Hari Minggu dan menjelang Ramadan, ada yang berziarah ke makam, bersilaturahmi ke rumah orang tua dan sanak saudara, atau berbelanja kebutuhan pokok. Saya dan istri datang ke Mal Botani Square di Bogor, pilah-pilih baju dan belanja alat dapur. Kalian ke mana?",minggu menjelang ramadan berziarah makam bersilaturahmi rumah orang tua sanak saudara berbelanja kebutuhan pokok istri mal botani square bogor pilah pilih baju belanja alat dapur,NA,NA,16328,2174,2228
Jokowi,Joko Widodo,jokowi,2019-05-03T06:58:00Z,"Sampai sekarang, selalu saja ada yang membisiki saya tentang terjadinya sengketa lahan: rakyat dengan perusahaan swasta, rakyat dengan BUMN, atau rakyat dengan pemerintah. Saya minta ini diselesaikan secepat-cepatnya. Rakyat harus memiliki kepastian hukum dan juga rasa keadilan.",membisiki sengketa lahan rakyat perusahaan swasta rakyat bumn rakyat pemerintah diselesaikan secepat cepatnya rakyat memiliki kepastian hukum keadilan,NA,NA,13045,2078,1386
Jokowi,Joko Widodo,jokowi,2019-05-03T02:30:00Z,"Durian ini dipetik dari pohon yang tumbuh di area sabuk hijau Bendungan Gondang, Karanganyar, Jawa Tengah. Saya dan Ibu Negara ikut menanamnya dua tahun lalu, saat bendungan tengah dikerjakan. Pohon-pohonnya telah berbuah. Saya bersama warga sekitar pun menikmatinya kemarin.",durian dipetik pohon tumbuh sabuk hijau bendungan gondang karanganyar jawa negara menanamnya bendungan pohon pohonnya berbuah warga menikmatinya kemarin,NA,NA,12168,1685,872
Jokowi,Joko Widodo,jokowi,2019-05-02T11:34:00Z,"Menerima kedatangan tokoh dan politisi muda, Agus Harimurti Yudhoyono, di Istana Merdeka, sore ini. Pertemuan saya dan Mas AHY ini adalah silaturahmi yang baik, berpayung semangat kebangsaan untuk senantiasa bersama-sama memajukan Indonesia. Terima kasih Mas AHY.",menerima kedatangan tokoh politisi muda agus harimurti yudhoyono istana merdeka sore pertemuan ahy silaturahmi berpayung semangat kebangsaan senantiasa memajukan indonesia ahy,NA,NA,23641,4081,1483
Jokowi,Joko Widodo,jokowi,2019-05-02T09:55:00Z,"Satu lagi bendungan selesai dibangun untuk mendukung ketahanan pangan nasional: Bendungan Gondang di Karanganyar, Jawa Tengah. Dipersiapkan sejak 2014, bendungan berkapasitas 9,15 juta m3 dengan luas genangan 43,86 ha ini akan mengairi 4.680 ha sawah di Karanganyar dan Sragen.",bendungan selesai dibangun dukung ketahanan pangan nasional bendungan gondang karanganyar jawa dipersiapkan twothousandfourteen bendungan berkapasitas fifteen juta m3 luas genangan mengairi sawah karanganyar sragen,NA,NA,10577,1986,448
